CPD-1106	C03557
CPD-13619	C20407
1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH	C11556
CPD-4617	C16448
CPD-204	C03579
CPD-19435	C21406
CPD-9562	C07606
CPD0-1476	C06899
CPD-8680	C16320
PROTOPORPHYRIN_IX	C02191
CPD-9665	C17696
CPD-12476	C08061
CPD-15316	C12299
CPD-7860	C15966
ENTEROBACTIN	C05821
CPD-10503	C05453
CPD-7651	C05582
N-BENZOYL-4-METHOXYANTHRANILATE	C04208
2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE	C07335
CPD-9893	C06327
CPD-13518	C05933
CPD-7246	C18060
CPD-10107	C18027
CPD-1789	C06316
A-L-GLYCOL	C01506
5-O-METHYL-MYO-INOSITOL	C03365
CPD-1421	C07212
DIETHYLTHIOPHOSPHATE	C06607
CPD-11625	C19778
CPD0-2232	C05258
3-UREIDO-ISOBUTYRATE	C05100
CPD-142	C03590
|L-gulopyranose|	C15923
CPD-7836	C06424
CPD-10175	C20575
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	C03972
CPD-649	C01120
CPD-18885	C18156
L-ASCORBATE-6-PHOSPHATE	C16186
LUMISTEROL	C19653
CPD-15053	C08729
CPD-601	C03431
EDTA	C00284
25S-5-BETA-SPIROSTAN-3-BETA-OL-3-O-BET	C08886
CPD-14023	C09902
|Charged-SEC-tRNAs|	C05173
CPD-8712	C11889
CPD-14226	C16741
CPD-7061	C18021
SUCC-S-ALD	C00232
CPD-5846	C04840
2-DEHYDRO-3-DEOXY-D-GALACTONATE	C01216
CPD-9227	C08099
DTDP-D-FUCOSE	C07277
4-IMIDAZOLONE-5-PROPIONATE	C03680
CPD-18541	C15721
CPD-19392	C11024
CPD-66	C03459
CPD-5661	C08590
CPD-11655	C05803
INDOLE-3-GLYCEROL-P	C03506
ABEQUOSYL-D-MANNOSYL-RHAMNOSYL-ETCETERA	C04808
CPD-12935	C19892
CPD-7247	C15492
CPD-14649	C20693
ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA	C02198
CPD-681	C02271
CPD-18497	C21764
CPD-184	C03671
CPD-15738	C12421
CHLOROPHYLL-B	C05307
CPD-346	C03046
CPD-15838	C14155
CPD-227	C02204
CPD-14736	C00328
CPD-7630	C09727
26-DICHLORO-P-HYDROQUINONE	C07097
18-OXOOLEATE	C19617
TETRADECANOYL-COA	C02593
CPD-20257	C21656
CDP-N-METHYLETHANOLAMIN	C03486
CPD-12014	C05643
CPD-332	C02029
CPD0-341	C01169
L-IDONATE	C00770
13-HYDROPEROXYOCTADECA-911-DIENOATE	C04717
CPD-2982	C08576
3-OH-BENZYL-ALCOHOL	C03351
CPD-9980	C20789
CPD-1099	C00492
CPD-2542	C05375
CPD-725	C04785
TDP-FUC4NAC	C06018
DTDP-RHAMNOSE	C03319
CPD-241	C01275
CPD-16467	C20772
CPD-11438	C07049
CPD-664	C05147
CPD-466	C03284
CPD-420	C01042
CPD-18094	C20493
CPD-7032	C07328
CPD-13921	C20147
AG+	C06710
5-HYDROXY-CONIFERYL-ALCOHOL	C12205
CPD-10464	C04466
CPD-148	C01387
CPD-20077	C21661
CPD-8656	C17751
|Phenyl-Acetates|	C15583
CPD-662	C06416
CPD-1908	C01766
CPD-19952	C14034
CPD-13952	C06620
OLEANDOMYCIN-2-O-PHOSPHATE	C03796
CPD-9933	C20464
FARNESYL-PP	C00448
CPD-8006	C03430
CPD-13811	C15772
|3-Beta-Hydroxysterols|	C02799
CPD-5921	C05607
3-ALPHA-HYDROXY-5-BETA-ANDROSTAN-17-ONE	C04373
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	C11434
UDP-D-GALACTOSAMINE	C02467
NIACINAMIDE	C00153
|Flavonol-3-O-Glycosides|	C15555
PROCOLLAGEN-L-PROLINE	C01078
CPD-10825	C18311
CPD-12889	C00650
CPD-2343	C14899
CPD-13829	C01684
CPD-9570	C01452
CHLORAMPHENICOL	C00918
CPD-16805	C16890
CPD-15042	C16723
FERULOYL-COA	C00406
112-TRICHLOROETHANE	C19536
12-HYDROXYDIHYDROCHELIRUBINE	C05193
CPD-1282	C04832
CPD-7672	C08276
DUTP	C00460
CPD-7140	C12640
CPD-7978	C09871
CPD-13046	C08346
CINNAMYL-ALC	C02394
CPD-7170	C10784
CPD-12425	C19681
CPD-16783	C21370
5-VALEROLACTONE	C02240
LANOSTEROL	C01724
CPD-12482	C16360
XYLULOSE-5-PHOSPHATE	C00231
CPD-10016	C01375
CPD-14016	C20243
ACETYLSERINE	C00979
CPD66-58	C18173
CPD1F-140	C02035
CPD-868	C20321
|Neolactopentaosylceramides|	C04938
CPD-1822	C00616
CPD-13502	C10044
CPD-8798	C20272
CPD-12450	C17644
CPD-10373	C15724
CPD0-881	C16698
CPD-4664	C19708
CPD-8583	C03422
CPD-7940	C08384
CPD-19672	C15957
CPD-13495	C17748
SULFOACETALDEHYDE	C00593
CPD-234	C04604
|Flavonol-3-B-D-Xylosyl-12-B-D-Glycoside|	C04069
TDP-FUC4NAC	C20415
DIHYDROCHELIRUBINE	C05194
CPD-14349	C12387
PHOTINUS-LUCIFERIN	C02740
1-3-7-TRIMETHYLXANTHINE	C07481
CPD-18448	C21460
CPD-14100	C19567
CPD-12018	C05659
HISTIDINAL	C01929
CPD-12164	C04229
WATER	C00001
CPD-7557	C20308
CPD-6960	C10289
2-IODOPHENOL-METHYL-ETHER	C03575
CPD0-2106	C05267
|D-myo-inositol-pentakisphosphates|	C15991
CPD-10382	C15744
VALIDAMYCIN-A	C12112
CPD-7268	C15561
CPD-11729	C06455
CPD-15579	C01614
CPD-9962	C17954
NITROSOBENZENE	C06876
334578-HEXAHYDROXYFLAVONE	C04109
CPD-1107	C01284
CPD-9666	C21371
CPD-1100	C04884
N-ACETYL-D-TRYPTOPHAN	C03137
CPD-20118	C05161
CPD-15305	C05926
CPD-12435	C02273
NORSPERMIDINE	C03375
CPD-12483	C16356
CPD-10269	C21072
CPD-13385	C11054
|5-Phospho-DNA|	C02128
SQUALENE	C00751
CPD-8246	C16775
CPD-11835	C11049
CPD-8801	C09749
CPD-18933	C21443
CPD-13080	C10822
HEXACHLOROETHANE	C19248
CPD-15152	C05813
CPD0-2463	C20440
CMP-N-ACETYL-NEURAMINATE	C00128
CPD-10845	C18310
GLUCOSAMINATE	C03752
R-RETICULINE	C05178
CPD-14112	C20447
THF	C00101
CPD-381	C03196
CPD-16510	C20808
CPD-18727	C06688
E-11-TETRADECENOYL-COA	C06736
CPD-9091	C11243
CPD-9799	C19707
CPD-15468	C10111
CPD-7228	C15486
CPD-14352	C12388
CPD-1097	C04148
CPD-18950	C10925
CPD-8922	C10882
CPD-12501	C19874
S-12-EPOXYPROPANE	C11507
CPD-20399	C16512
CPD-16	C02183
CPD-1127	C02333
1-HYDROXYALKYL-SN-GLYCEROL	C03658
DEOXY-OH-METHYLCYTIDINE-TRIPHOSPHATE	C11039
CPD-13622	C20397
MESO-DIAMINOPIMELATE	C00680
CPD-10759	C09621
N-ACETYL-D-MANNOSAMINE	C00645
D-THREONINE	C00820
CPD-14400	C20430
CPD-15909	C10641
CPD-419	C02990
CPD-12947	C12413
|Charged-VAL-tRNAs|	C02554
D-ERYTHRITOL-4P	C03494
CPD1F-129	C02094
CPD-18286	C21186
CPD-15415	C12474
CPD0-1074	C11033
ALPHA-D-GALACTOSE	C00984
CPD-7188	C04911
CPD-5302	C08798
CPD-14546	C20382
CPD-8815	C14103
CPD-3462	C01029
CPD-4587	C20445
CPD-12332	C20633
CPD-19126	C14177
L-ARGININE-P	C05945
CPD-9417	C17354
Z-2-2-FURYL-3-5-NITRO-2-FURYLACRYL	C04622
MACROCIN	C00744
CPD-7167	C01294
CPD-17202	C20551
NADP	C00006
3-HYDROXYQUININE	C07344
CPD-18156	C16491
CPD-15121	D00323
CPD-9001	C15989
|glycols|	C15588
CPD-16581	C17737
CPD-12281	C19875
CPD-11724	C10483
CPD-13059	C15673
CPD-17609	D04107
CPD-473	C02800
CPD-1063	C04582
1-ALKYL-SN-GLYCEROL	C02773
5-HYDROXY-TRYPTOPHAN	C00643
CPD-20017	C19130
CPD-8837	C09693
CPD-423	C03141
CPD-8697	C11881
CPD-1092	C07083
CPD-19760	C21563
|Alpha-D-Glucuronides|	C06370
CPD-20579	C21779
10-DESACETYLTAXUYUNNANIN-C	C15538
ATROPINE	C01479
CPD-18946	C11001
ARABINOSE-5P	C01112
FMNH2	C01847
2-HYDROXYPHYTANOYL-COA	C07343
DIVINYLCHLOROPHYLLIDE-A	C11832
FE+2	C14818
12-PROPANEDIOL-1-PHOSPHATE	C03894
GAMMA-LINOLENOYL-COA	C03035
CPD-4721	C09737
CPD-20216	C21701
CPD-7614	C14090
METHYLOXALO-ACETATE	C06030
CPD-275	C04110
CPD-12185	C00884
CPD-9228	C11754
CPD-20277	C10173
RUTIN	C05625
|Alkyl-Sulfenates|	C02245
CPD-20527	C07463
CPD-306	C04020
CPD-13955	C12389
CPD-217	C00515
|b-D-mannosyl-R|	C03268
CPD-13680	C14909
1-AMINO-PROPAN-2-OL	C05771
CPD-7174	C08998
CPD-14132	C03092
CPD-10329	C20835
CPD-13536	C16681
N-ACETYL-D-GALACTOSAMINYL-13-D-GALACT	C03272
L-2-AMINO-HEXANO-6-LACTAM	C02837
CPD-4751	C18226
CPD-1912	C04686
CPD-18984	C20783
2-METHYLMALEATE	C02226
CPD-16582	C20987
CPD-19673	C15958
BETAINE_ALDEHYDE	C00576
N-ALPHA-ACETYLORNITHINE	C00437
CPD-10622	C12831
CPD-13646	C10494
CPD-16791	C17944
CPD-225	C02341
NITRATE	C00244
CPD-5923	C19766
CPD-1108	C01277
CPD-12365	C19968
ARACHIDIC_ACID	C06425
OXIDIZED-PHOTINUS-LUCIFERIN	C03797
GLUTAMIDE	C00819
CPD-324	C03861
CPD-8947	C04360
ALPHA-L-GLUTAMYL-PHOSPHATE	C05765
CPD-94	C10448
CPD-3740	C08275
CPD-14193	C17586
CH4	C01438
ISOGLUTAMINE	C16673
CPD-7252	C10098
CPD0-1652	C07837
SCOPOLETIN	C01752
CPD-14021	C20245
CPD-805	C06556
CPD1F-118	C05433
CPD-20408	C03592
CPD-9482	C17420
3-HYDROXY-2-METHYL-1H-QUINOLIN-4-ONE	C11504
CIT	C00158
CPD-18764	C12099
TIRON	C11159
CPD-19741	C03299
MEK	C02845
CPD-10076	C07024
CPD-552	C01861
5-METHYLTHIOADENOSINE	C00170
INDOXYL	C05658
CPD-16446	C20770
|Sphingomyelins|	C00550
CATECHOL	C15571
BENZIMIDAZOLE	C02009
CPD-17052	C10595
CPD-398	C03914
CPD-279	C03585
CPD-13858	C20163
CPD-15742	C06533
CPD-17174	C01567
TETRACOSANOATE	C08320
CPD-9668	C21218
DIOXOPIPERAZINE	C02777
CPD-8536	C04511
CPD-20319	C14206
CPD-16656	C20984
CPD-19421	C16702
CPD-15951	C14641
CPD-16181	C20887
CPD-8719	C11902
CPD-8124	C21486
5-TERT-BUTYLAMINOL-2-HYDROXYPRO-1234-TET	C04875
CPD-14262	C20435
5-PHOSPHONUCLEOSIDE-3-DIPHOSPHATE	C04292
CPD-18416	C09738
GALACTOSYLCERAMIDE-SULFATE	C06125
CPD-16541	C12095
12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL	C06364
CPD-15273	C20636
6-CHQ	C06328
CPD-17541	C20964
CPD-8130	C02814
CPD-6501	C15513
CPD-16433	C20765
GLYCOLALDEHYDE	C00266
2-BUTYNE-14-DIOL	C02497
INOSITOL-1456-TETRAKISPHOSPHATE	C11555
BETA-D-GAL-1-3-D-GLCNAC	C06372
CPD-10785	C21199
3-SULFOCATECHOL	C06336
D-LACTATE	C00256
UDP-ACETYL-ETCETERA-BISSULFATE	C04589
CPD-8725	C12078
|Myristoyl-ACPs|	C05761
MANNOSE	C00159
CPD-553	C00844
18-HYDROXYOLEATE	C19616
BETA-ALANYL-COA	C02335
GLYCYLGLYCINE	C02037
PHENOL	C15584
CPD-13112	C19864
CPD-15425	C20699
TAUROCYAMINE	C01959
1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL	C01282
CPD-6951	C19863
CPD-17515	C12324
CPD-214	C03710
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE	C12632
CPD-7986	C11384
CPD-3571	C19806
3-HYDROXYPHENYL-PROPIONATE	C11457
CPD-7002	C17439
CPD-13293	C02095
Pi	C00009
CPD-14167	C17589
T2-DECENOYL-COA	C05275
PHENYL-PYRUVATE	C00166
|Glycerophosphodiesters|	C03120
CPD-14015	C20235
CPD0-181	C15667
CPD-583	C01044
CYCLOEUCALENOL	C02141
CPD-8749	C20161
CPD-19446	C12180
CPD-162	C02927
DIHYDROSTREPTOMYCIN-3-ALPHA-6-BISPHOSPH	C01280
CPD-12612	C15877
CPD-9608	C10368
CPD-19187	C21450
CPD1F-96	C02034
CIS-34-DEHYDROADIPYL-COA	C19682
RAUCAFFRICINE	C02074
GLUCONOGAMMALACTONE	C03107
CIS-D2-ENOYL-COA	C01122
CPD-13831	C11993
CPD-7244	C15599
CPD-9532	C16188
CPD-15534	C20666
4-PHOSPHONOOXY-THREONINE	C06055
CPD-6201	C11862
VANILLATE	C06672
CPD-8745	C19747
CPD-5561	C07074
CPD-11859	C18347
1112-TETRACHLOROETHANE	C14705
CYSTINE	C01420
CPD-19338	C08355
1-O-ALKYL-2-ACETYL-SN-GLYCEROL	C03820
CPD-282	C02395
D-XYLONATE	C00878
CPD-12797	C10787
CPD-7236	C15515
CPD-421	C03296
CPD-3946	C15797
CPD-331	C02513
PHE	C00079
CPD-19014	C21297
ESTRIOL	C05141
PROPIONATE	C00163
ISONIAZIDE	C07054
TRANS-2-HEXENAL	C08497
CPD-1103	C01855
CPD-14453	C18079
DEACETOXYCEPHALOSPORIN-C	C06565
CARBAMATE	C01563
PLASTOQUINONE-9	C10385
CPD-676	C01197
|General-Protein-Substrates|	C00017
CPD-8762	C20804
CPD-591	C05905
CAPSANTHIN	C08584
CPD-8559	C04645
CPD-927	C03569
CPD1F-4	C14044
|1-Alkyl-sn-glycerol-3-phosphates|	C03968
CPD-9052	C12518
CPD0-2357	C14279
D-GALACTARATE	C01807
TARTRONATE-S-ALD	C01146
CPD-18482	C21182
CPD-14676	C07909
CPD-18788	C21216
CPD-13835	C11999
CPD-12475	C08060
34-DIHYDROXYPHENYLPYRUVATE	C04045
CPD-14312	C20711
CPD-671	C00664
CPD-1003	c06577
CPD-17769	C10788
R-NORCOCLAURINE	C06347
ISOORIENTIN	C01821
CPD-156	C05641
|Protein-D-serines|	C06396
OXIDIZED-DITHIOTHREITOL	C01119
CPD-9930	C10428
PALMITYL-COA	C00154
CPD-19830	C11040
CPD-1001	C06575
N-ACETYL-9-O-ACETYLNEURAMINATE	C04017
CPD-10642	C19834
GDP-MANNOSE	C00096
CPD-16963	C20555
CPD-15261	C20564
CPD0-1031	C11037
CPD-20628	C15914
CPD-17528	C06802
CPD1F-2	C11512
CPD-15540	C20727
CPD-12312	C02155
C-DI-GMP	C16463
CPD-17778	C17409
C4	C05888
CPD-16697	C21144
Ergothioneine	C05570
CPD-10313	C19725
S-ADENOSYLMETHIONINE	C00019
GLUTARATE	C00489
CPD-259	C02372
CPD-13993	C20939
CPD-13691	C20840
11-O-DEMETHYL-17-O-DEACETYLVINDOLINE	C04318
|Charged-ASN-tRNAs|	C03402
|Cytochrome-c-N-O-methyl-arginines|	C15529
CPD-17508	C20942
5-HYDROXY-FERULIC-ACID	C05619
CPD-12383	C21623
CPD-14335	C20429
CPD-8769	C09877
CPD0-2367	C16633
CPD-328	C01993
PYRIDOXINE-5P	C00627
CPD-10684	C18068
PSICOSE	C06468
2-METHYL-L-SERINE	C02115
1-O-ALKYL-2-ACETYL-3-ACYL-SN-GLYCEROL	C04361
3-HEXAPRENYL-4-HYDROXY-5-METHOXYBENZOATE	C05313
CPD-19545	C17413
CPD-20327	C21715
CPD-16792	C17940
CPD-12775	C21109
CPD-10757	C09631
CPD-9410	C09382
CPD-14691	C11987
CILASTATIN	C01675
CPD-341	C00955
CPD0-1065	C16565
CPD0-1551	C02154
CPD-11495	C05852
CPD-11433	C19893
CPD-10548	C05451
CPD-822	C05932
CPD-11688	C12344
CPD-567	C02727
5-HYDROXY-CONIFERALDEHYDE	C12204
CPD-17141	C21095
CPDN-384	C06204
CPD-12096	C15718
PHYTOSPINGOSINE	C12144
CPD-15498	C16494
OLEATE-CPD	C00712
CPD-8486	C10833
CPD-14493	C08619
CPD-5781	C10175
3-METHYLSULFINYLPROPYL-GLUCOSINOLATE	C08411
CPD-13881	C20189
CPD0-1358	C12056
CPD-19879	C21585
CPD-10171	C20507
DIMETHYLARSINATE	C07308
CPD-411	C03002
CPD-8685	C16323
|Purine-Ribonucleosides|	C01736
CPD-6321	C04398
CPD-20430	C21654
CPD-10040	C11401
CPD-15504	C05073
CPD-10865	C07096
CPD-16740	C20529
HOPAN-22-OL	C06309
L-GAMMA-GLUTAMYLCYSTEINE	C00669
CPD-31	C02612
CPD-10791	C16848
12-DIHYDROSANTONIN	C02771
CPD-8788	C16815
CPD-928	C07731
CPD-9949	C17268
CPD-1072	C17883
CPD-8996	C11388
CPD-18732	C16363
CPD-14462	C07798
CPD-15965	C17941
|Charged-SER-tRNAs|	C02553
IDOSE	C06466
CPD-4564	C12625
DIHYDROMACARPINE	C05316
PHENOL	C00146
BUTHIONINE-SULFOXIMINE	C04543
CPD-359	C16594
CPD0-1242	C11165
KDO2-LIPID-IVA	C06025
CPD-8242	C09750
2-CARBOXY-D-ARABINITOL	C03215
CPD-12885	C09848
CPD-7644	C21068
CPD-9762	C09847
UMP	C00105
CPD-653	C04856
SANGUINARINE	C06162
L-1-GLYCEROPHOSPHORYLETHANOL-AMINE	C01233
DIMETHYL-D-RIBITYL-LUMAZINE	C04332
ACETAMIDE	C06244
CPD-20446	C21726
CPD-14499	C20945
|Oxidized-Flavoproteins|	C03161
3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE	C17244
CPD-1080	C01111
CPD-19449	C08534
TAXA-42011-DIEN-5A13A-DIOL	C11897
|PRO-tRNAs|	C01649
CPD-20135	C21690
CPD-13517	C17349
N2-SUCCINYLGLUTAMATE	C05931
CHORISMATE	C00251
--EPHEDRINE	C01575
CPD-18120	C10945
TETRAHYD-CPD	C04033
44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET	C04530
CPD-10068	C11403
CPD-7643	C20954
CPD-19396	C03753
CPD-12357	C09023
L-SELENOCYSTEINE	C05688
CPD-15422	C12468
CPD-8692	C20329
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA	C04524
CPD-273	C03410
CPD-365	C20251
CPD-20475	C21734
CPD-8846	C20700
CPD-198	C04305
|Thyroglobulin-L-thyroxines|	C16729
CPD-232	C21308
P-NITROPHENOL	C00870
RIBOFLAVIN	C00255
ACETOACETYL-COA	C00332
CPD-6562	C15768
CPD-166	C01246
CPD-15289	C20495
CPD-10238	C14725
CPD-762	C06550
CPD-16927	C06086
CPD-7388	C00985
3-HYDROXYAMINOPHENOL	C14602
CPD-10868	C14270
CPD0-2602	C08111
24-DICHLOROPHENOL	C02625
CPD-16511	C20800
|VAL-tRNAs|	C01653
CPD-8665	C17513
CPD-10450	C16395
CPD-8191	C09276
CPD-10172	C20506
CPD-15420	C12475
CPD-10030	C11397
DOLICHOLP	C00110
CPD66-25	C05297
CPD-1070	C02167
CPD-103	C05613
CPD-10239	C14724
S-ALKYL-THIOSULFATE	C02885
5-3-HYDROXY-4-ACETOXYBUT-1-YNYL-22-B	C04711
DIHYDRONEOPTERIN-P	C05925
4-METHYL-MYO-INOSITOL	C06352
OCTAPRENYL-METHYL-OH-METHOXY-BENZQ	C05815
CPD-7014	C16541
CPD-18842	C21427
CPD-10179	C16754
CPD-1004	C06578
3-HYDROXYPIMELYL-COA	C06714
NAPHTHOL	C11714
CPD-8838	C09694
NAD	C00003
ETHANAMINE	C00797
CPD-14415	C19843
CPD-580	C01073
SPERMINE	C00750
|Charged-ARG-tRNAs|	C02163
CPD-537	C09812
CPD-12726	C10184
CPD-4562	C16222
PYRROLINE-HYDROXY-CARBOXYLATE	C04281
CPD-20575	C21762
CPD-5541	C06747
CPD-264	C05195
CPD-10797	C12621
CO+2	C00011
CPD-7162	C04054
GDP-TP	C04494
CPD-18813	C15518
CPD-3942	C16230
|ARG-tRNAs|	C01636
DPG	C00236
CPD-9088	C21217
CPD-3161	C12631
CPD-17545	C20967
CPD-16519	C20841
2-FLUOROBENZOATE	C02359
CPD-14202	C02953
CPD-17328	C16171
CPD-453	C03993
UNDECAPRENYL-P	C00348
CPD-11737	C17945
CPD-9906	C16144
CPD-1863	C05837
7-METHYLGUANOSINE-5-PHOSPHATE	C03998
GLUCOSAMINE	C00329
PANTOTHENOL	C05944
CPD-20503	C07266
5-4-ACETOXYBUT-1-YNYL-2-2-BITHIOPHENE	C04485
CPD-10159	C16143
METHYL-MALONYL-COA	C01213
CPD-1843	C03197
CPD-398	C21289
CPD-12774	C21110
CPD-7970	C11164
CPD-7026	C10199
NAPHTHALENE-12-DIOL	C03012
CPD-9610	C17432
CPD-3604	C01132
CPD-18949	C10953
CPD-11650	C06239
CYTOSINE	C00380
CPD-14850	C12668
CPD-6644	C10542
CPD-19603	C09553
|L-Amino-Acids|	C00151
CPD66-23	C05138
CPD-15327	D08880
CPD-1003	C06577
NADH	C00004
CPD-8490	C12307
CPD-8919	C18158
CPD0-1939	C11189
CPD-18087	C21424
CPD-173	C02323
CPD-8701	C09699
CPD0-1187	C03850
CPD-8621	C03845
DEOXYAMIDINOPROCLAVAMINATE	C06656
CPD-6992	C09826
CPD-15564	C19425
CPD-10635	C12833
CPD-13965	C12383
CPD-15765	C18635
CPD-258	C01988
CPD-12335	C19880
|S-Substituted-Glutathione|	C02320
CPD-520	C00389
|1-Alkyl-2-acetyl-sn-glycero-3-phosphates|	C01264
CPD-13792	C16513
CPD-7849	C15967
CPD-6202	C14161
UDP-D-GALACTURONATE	C00617
PYRIDOXAL_PHOSPHATE	C00018
CPD-17915	C09679
CPD-15553	C11095
CPD-379	C01093
METHYL-GLYOXAL	C00546
CPD-176	C03832
CPD-9910	C19841
CPD-7398	C08737
CPD-16763	C10078
14-DICHLOROBENZENE-DIHYDRODIOL	C07093
CPD-9097	C18152
FERRICYTOCHROME-B5	C00996
CPD-19752	C16473
CPD-7417	C05839
CPD-7975	C04284
CPD-18241	C17671
CPD-2748	C06524
CPD0-1686	C12148
D-GLT	C00217
BENZOYLCOA	C00512
CPD-14792	C20434
CPD-14816	C09390
CPD-7172	C06972
CPD-7289	C15501
CPD-12617	C15885
COBINAMIDE	C05774
CPD-3061	C09762
|Deoxy-Ribonucleoside-Monophosphates|	C00676
CPD-15125	C06201
CPD-7257	C05467
CPD-14596	C08336
CPD-677	C03015
CPD-10806	C21642
CPD-15301	C20623
|D-Glucosyl-12-diacyl-glycerols|	C04046
3-BETA-HYDROXYANDROST-5-EN-17-ONE	C01227
CPD0-1690	C08288
CPD-1701	C03659
CPD-265	C01028
CPD-14207	C17701
CPD-13995	C20261
CPD-296	C02147
CPD-6949	C08636
PARA-MENTHANE-38-DIOL	C02904
CPDQT-343	C17246
CPD-18280	C14582
CPD-12457	C05463
L-ASPARTATE	C00049
CPD-14402	C20431
VINORINE	C11807
CPD-5922	C16257
CPD-667	C01077
CPD-15413	C18473
5-HYDROXY-4-IMIDAZOLEACETATE	C05133
CPD-19642	C08291
CPD-13667	C19943
CPD-20432	C21800
CPD-12508	C19727
CPD0-1110	C08353
IMINOASPARTATE	C05840
CPD-608	C03361
CPD-7670	C00580
METHYLENE-THF	C00143
SULFOQUINOVOSYLDIACYLGLYCEROL	C13508
CPD-15442	C08944
CPD-12276	C20335
CPD-9977	C20222
CPD-9227	C06895
CPD-15470	C08908
CPD-628	C01990
CPD-14347	C12385
CPD-7023	C07205
BISOHMYR-GLUCOSAMINYL-1P	C04824
BETA-D-GALACTOSYL-ETCETERA-GLUCOSAMINE	C00611
CPD-11293	C19760
CPD-4942	C09893
CPD-20518	C21767
CPD-15297	C08552
CPD-13826	C11991
CPD-4863	C20314
GLUTARYL-COA	C00527
CPD-9667	C17697
CPD-15118	C11262
CPD-8117	C06426
CPD-15233	D03158
GDP-4-DEHYDRO-6-L-DEOXYGALACTOSE	C14830
ALENDRONATE	C07752
ACETYL-COA	C00024
CPD-602	C01268
CPD-8594	C01311
CPD-18237	C15726
CPD-4569	C10457
THIAMINE-ALDEHYDE	C05856
CPD-1803	C04016
CPD-16742	C20535
CPD-18956	C21713
GLY	C00037
CPD-7284	C15517
CPD-9847	C06528
CPD-12651	C04783
CPD-16448	C20891
DESMOSTEROL-CPD	C01802
CPD-54	C05239
CPD-14806	C21644
CPD-8960	C10729
CPD-14349	C12386
CPD-8791	C20273
CPD-12004	C20657
CPD-600	C01045
7E9E11Z14Z-5S6R-6-CYSTEIN-S-YL	C05952
CPD-109	C01542
3-NITROACRYLATE	C02231
|Octadec-2-enoyl-ACPs|	C16221
CPD-7229	C15497
CPD-13048	C20188
CPD-14098	C20279
CPD-510	C05385
CPD-11504	C09723
CPD-14093	C20278
|Ergothioneine|	C05570
O-SINAPOYLCHOLINE	C00933
CPD-10385	C15749
CPD-3441	C16187
4-HYDROXYPHENYLACETATE	C00642
CPD-15570	C20673
OCTANOL	C00756
CPD-20534	C07143
CPD-16640	C20975
|Cytochromes-C-Oxidized|	C00125
CPD-3709	C06194
25-DICHLOROHYDROQUINONE	C06600
CPD-20548	C14521
FORMYL-COA	C00798
CPD-13935	C01728
CPD-15119	C01359
CPD-10260	C16216
CPD-4209	C04083
CPD-85	C15606
INDOLE-CARBOXY-HYDRO-THIAZOLE	C21722
CPD-10615	C03359
|Aryl-Aldehyde|	C00193
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	C11453
CPD-17331	C16167
ALPHAALPHA-TREHALOSE-66-BISMYCOLATE	C04465
CPD-12317	C06180
CPD-7416	C08599
CPD0-2189	C06056
CPD-5583	C11045
CPD-551	C03167
CPD-15016	C20485
S-ALLANTOIN	C02350
|D-glucopyranose-6-phosphate|	C00092
CPD-9288	C11271
|2-Acyl-sn-glycerol-3-phosphates|	C03974
CPD-18483	C21180
CPD-7861	C15965
ONONIN	C10509
12-DIHYDROXY-6-METHYLCYCLOHEXA-35-DIEN	C06731
CPD-20606	C01690
TAXA-411-DIENE	C11894
CPD-3605	C08240
CPD-19892	C21678
13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1	C04654
|Charged-CYS-tRNAs|	C03125
ENT-KAUR-16-EN-19-AL	C11873
CPD-13491	C21100
CPD-4203	C16426
|2-Acylglycero-Phosphocholines|	C04233
CPD-9123	C06566
CPD-9443	C18052
CPD-9045	C11545
ISATIN	C11129
|Charged-LEU-tRNAs|	C02047
CPD0-1117	C04423
CPD-12613	C15878
CPD0-2108	C05276
PYRROLE-2-CARBOXYLATE	C05942
CPD-8134	C21106
CPD-12869	C21295
D-HAMAMELOSE	C01906
CPD-16502	C20831
THMPT	C01217
CPD-20624	C15943
CIS-3-PHENYLCYCLOHEXA-35-DIENE-12-DIOL	C06589
CPD-12156	C19767
|Digalactosylceramide-sulfate|	C06127
2-FUROATE	C01546
COB-I-ALAMIN	C00853
CPD-18718	C21181
CPD-310	C03210
IMIDAZOLE-PYRUVATE	C03277
|Thiopurine-Methylethers|	C03542
CPD-14999	C08612
3-2-CARBOXYPHENYLCATECHOL	C16263
CPD-17979	C05795
CPD-18107	C19364
CPD-12884	C19711
CPD-19884	C21612
CPDQT-36	C17215
CPD-1113	C04248
VANILLYL_MANDELATE	C05584
CPD-8919	C10752
